_id,frame_number,jenis_kendaraan,deteksi,date,hari,timestamp
666a752c18ab3c9b75c94c1a,458,truck,1,2024-06-13,Thursday,2024-06-13 11:24:23
666a752c18ab3c9b75c94c1b,459,car,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c1c,459,car,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c1d,459,car,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c1e,459,car,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c1f,459,car,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c20,459,car,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c21,459,car,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c22,459,truck,1,2024-06-13,Thursday,2024-06-13 11:24:24
666a752c18ab3c9b75c94c23,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c24,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c25,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c26,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c27,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c28,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c29,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c2a,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c2b,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c2c,460,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c2d,460,truck,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c2e,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c2f,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c30,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c31,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c32,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c33,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c34,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c35,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c36,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c37,461,car,1,2024-06-13,Thursday,2024-06-13 11:24:25
666a752c18ab3c9b75c94c38,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c39,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c3a,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c3b,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c3c,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c3d,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c3e,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c3f,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c40,462,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c41,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c42,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c43,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c44,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c45,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c46,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c47,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c48,463,car,1,2024-06-13,Thursday,2024-06-13 11:24:26
666a752c18ab3c9b75c94c49,464,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c4a,464,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c4b,464,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c4c,464,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c4d,464,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c4e,464,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c4f,464,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c50,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c51,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c52,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c53,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c54,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c55,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c56,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c57,465,car,1,2024-06-13,Thursday,2024-06-13 11:24:27
666a752c18ab3c9b75c94c58,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c59,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c5a,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c5b,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c5c,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c5d,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c5e,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c5f,466,car,1,2024-06-13,Thursday,2024-06-13 11:24:28
666a752c18ab3c9b75c94c60,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c61,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c62,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c63,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c64,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c65,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c66,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c67,467,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c68,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c69,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c6a,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c6b,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c6c,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c6d,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c6e,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c6f,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c70,468,car,1,2024-06-13,Thursday,2024-06-13 11:24:29
666a752c18ab3c9b75c94c71,469,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c72,469,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c73,469,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c74,469,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c75,469,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c76,469,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c77,469,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c78,470,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c79,470,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c7a,470,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c7b,470,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c7c,470,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c7d,470,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c7e,470,car,1,2024-06-13,Thursday,2024-06-13 11:24:30
666a752c18ab3c9b75c94c7f,471,car,1,2024-06-13,Thursday,2024-06-13 11:24:31
666a752c18ab3c9b75c94c80,471,car,1,2024-06-13,Thursday,2024-06-13 11:24:31
666a752c18ab3c9b75c94c81,471,car,1,2024-06-13,Thursday,2024-06-13 11:24:31
666a752c18ab3c9b75c94c82,471,car,1,2024-06-13,Thursday,2024-06-13 11:24:31
666a752c18ab3c9b75c94c83,472,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c84,472,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c85,472,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c86,472,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c87,472,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c88,472,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c89,472,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c8a,473,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c8b,473,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c8c,473,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c8d,473,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c8e,473,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c8f,473,car,1,2024-06-13,Thursday,2024-06-13 11:24:32
666a752c18ab3c9b75c94c90,474,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c91,474,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c92,474,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c93,474,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c94,474,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c95,474,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c96,474,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c97,475,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c98,475,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c99,475,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c9a,475,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c9b,475,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c9c,475,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c9d,475,car,1,2024-06-13,Thursday,2024-06-13 11:24:33
666a752c18ab3c9b75c94c9e,476,car,1,2024-06-13,Thursday,2024-06-13 11:24:34
666a752c18ab3c9b75c94c9f,476,car,1,2024-06-13,Thursday,2024-06-13 11:24:34
666a752c18ab3c9b75c94ca0,476,car,1,2024-06-13,Thursday,2024-06-13 11:24:34
666a752c18ab3c9b75c94ca1,476,car,1,2024-06-13,Thursday,2024-06-13 11:24:34
666a752c18ab3c9b75c94ca2,476,car,1,2024-06-13,Thursday,2024-06-13 11:24:34
666a752c18ab3c9b75c94ca3,476,car,1,2024-06-13,Thursday,2024-06-13 11:24:34
666a752c18ab3c9b75c94ca4,476,car,1,2024-06-13,Thursday,2024-06-13 11:24:34
666a752c18ab3c9b75c94ca5,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94ca6,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94ca7,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94ca8,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94ca9,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94caa,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cab,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cac,477,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cad,478,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cae,478,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94caf,478,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
